"ID","Field","Depth","Date","BulkD","ECe","ECpw","SoilGWC","PasteGWC","ssatNa","ssatCa","ssatMg","ssatK","ssatAlk","ssatNO3","ssatS","ssatCl","PasteNa","PasteCa","PasteMg","PasteK","PasteAlk","PasteNO3","PasteS","PasteCl","SoilCa","SoilMg","SoilNa","SoilK","SoilNO3","SoilS","CEC","cecH","cecK","cecCa","cecMg","cecNa","Qs","Qr","alpha","n","m","soil_type","ssatVWC","PasteVWC","soilKmeqkg","soilCameqkg","soilMgmeqkg","soilNameqkg","soilKeqkg","soilCaeqkg","soilMgeqkg","soilNaeqkg","soilESP","soilESR","ssatKmeqL","ssatCameqL","ssatMgmeqL","ssatNameqL","ssatClmeqL","ssatSmeqL","ssatNO3meqL","ssatAlkmeqL","ssatKmolL","ssatCamolL","ssatMgmolL","ssatNamolL","ssatClmolL","ssatSmolL","ssatNO3molL","ssatAlkmolL","ssatIonicStrength","ssatPredictedEC","ssatSAR","ssatDBCa","ssatDBMg","ssatDBNa","ssatDBK","ssatGaponCaMg","ssatGaponCaNa","ssatGaponCaK","PasteKmeqL","PasteCameqL","PasteMgmeqL","PasteNameqL","PasteClmeqL","PasteSmeqL","PasteNO3meqL","PasteAlkmeqL","PasteKmolL","PasteCamolL","PasteMgmolL","PasteNamolL","PasteClmolL","PasteSmolL","PasteNO3molL","PasteAlkmolL","PasteIonicStrength","PastePredictedEC","PasteSAR","PasteDBCa","PasteDBMg","PasteDBNa","PasteDBK","PasteGaponCaMg","PasteGaponCaNa","PasteGaponCaK"
1,"DL0",15,"8/24/2018",1.406282041,11.69,2.25,0.276013143,0.618101808,2073,577,797,62,565,25.7,2290,583,2443,581,493,66,149,242.8,1811,1088,5341,1189,822,429,54,414,41.3,0,3,64,24,9,NA,NA,NA,NA,NA,1,0.388152326080865,0.86922547210003,12.39,264.32,99.12,37.17,0.01239,0.26432,0.09912,0.03717,90,8.99999999999999,1.5872,28.7923,65.5931,90.13404,16.42311,47.7007,0.41377,9.26035,0.0015872,0.01439615,0.03279655,0.09013404,0.01642311,0.02385035,0.00041377,0.00926035,0.200995335,15.8264043307087,13.1205314020402,0.150125579721462,0.157849792683338,0.616353446946343,0.610047889849011,0.242295701569151,8.49778229845664,0.444328093301434,1.6896,28.9919,40.5739,106.22164,30.64896,37.72313,3.90908,2.44211,0.0016896,0.01449595,0.02028695,0.10622164,0.03064896,0.018861565,0.00390908,0.00244211,0.179744625,14.1531200787402,18.0106799261542,0.165097507992089,0.172753172508851,0.631791908333362,0.625975677815413,0.309887082072187,9.75508203973253,0.461218245141039
2,"DL0",50,"8/24/2018",1.585158997,8.58,21.58,0.261516065,0.583319543,5066,474,1351,75,1435,22.2,5074,1050,2297,400,441,152,171,18.8,2161,471,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,NA,NA,NA,NA,NA,2,0.414544543294787,0.924654221712378,11.18,368.94,106.21,72.67,0.01118,0.36894,0.10621,0.07267,130,-4.33333333333333,1.92,23.6526,111.1873,220.26968,29.5785,105.69142,0.35742,23.51965,0.00192,0.0118263,0.05559365,0.22026968,0.0295785,0.05284571,0.00035742,0.02351965,0.378353945,29.7916492125984,26.8262833714993,0.0800482691754732,0.0874284699838788,0.522623655075531,0.512980777325511,0.127048941410855,18.9952033973334,1.05636946972933,3.8912,19.96,36.2943,99.87356,13.26807,45.01363,0.30268,2.80269,0.0038912,0.00998,0.01814715,0.09987356,0.01326807,0.022506815,0.00030268,0.00280269,0.16133703,12.7037031496063,18.8316193040153,0.180238279454794,0.187794655644761,0.646354913649309,0.640983502032937,0.209147473980155,7.72739978344846,1.94068727207109
3,"DL0",100,"8/24/2018",1.432892749,13.35,9.46,0.292988134,0.539632546,2124,485,563,27,920,0.8,2006,638,2764,366,520,27,88,58.3,2404,553,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,NA,NA,NA,NA,NA,3,0.41982057275164,0.773235562287809,4.62,314.16,87.78,55.44,0.00462,0.31416,0.08778,0.05544,120,-6,0.6912,24.2015,46.3349,92.35152,17.97246,41.78498,0.01288,15.0788,0.0006912,0.01210075,0.02316745,0.09235152,0.01797246,0.02089249,1.288e-05,0.0150788,0.17537481,13.8090401574803,15.5507879846723,0.168490457945676,0.17612627578075,0.635141250650113,0.629428776219827,0.197509183975274,7.3611935130555,0.65518724884631,0.6912,18.2634,42.796,120.17872,15.57801,50.07532,0.93863,1.44232,0.0006912,0.0091317,0.021398,0.12017872,0.01557801,0.02503766,0.00093863,0.00144232,0.18054916,14.2164692913386,21.7503527981842,0.164485450308324,0.172144536407337,0.631182144307477,0.625346931724912,0.178423081902819,11.0909917828888,0.758392629726404
4,"DL1",15,"8/25/2018",1.227874362,1.178,2.155,0.282944673,0.667059101,177,413,127,8,676,0.9,374,48,77,210,52,5,121,1,222,17,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,NA,NA,NA,NA,NA,4,0.347420509841174,0.819064768056669,6.66,259.74,59.94,6.66,0.00666,0.25974,0.05994,0.00666,20,0.25,0.2048,20.6087,10.4521,7.69596,1.35216,7.79042,0.01449,11.07964,0.0002048,0.01030435,0.00522605,0.00769596,0.00135216,0.00389521,1.449e-05,0.01107964,0.049024745,3.86021614173228,1.95286166851047,0.376502439300041,0.381614532098021,0.781297706508864,0.779232415512258,0.321864343596028,3.76486805456629,0.0999234388894438,0.128,10.479,4.2796,3.34796,0.47889,4.62426,0.0161,1.98319,0.000128,0.0052395,0.0021398,0.00334796,0.00047889,0.00231213,1.61e-05,0.00198319,0.02235993,1.76062440944882,1.23245955815693,0.512312755513976,0.515576292126079,0.845002461195169,0.843965094485853,0.359962573641198,2.12956222565449,0.0813179749341785
5,"DL1",50,"8/24/2018",1.436232889,1.118,1.482,0.245019391,0.59755102,121,280,84,4,713,0.7,174,24,577.5,182,142.5,6.5,110.5,5.9,612,117.5,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,NA,NA,NA,NA,NA,5,0.351904907796951,0.858222427779497,3.36,268.8,57.12,3.36,0.00336,0.2688,0.05712,0.00336,10,0.111111111111111,0.1024,13.972,6.9132,5.26108,0.67608,3.62442,0.01127,11.68607,0.0001024,0.006986,0.0034566,0.00526108,0.00067608,0.00181221,1.127e-05,0.01168607,0.03337807,2.62819448818898,1.62806066772032,0.443979531747107,0.448145860577413,0.814825344894792,0.813344494388774,0.300691008718871,6.15791453092068,0.119637880312243,0.1664,9.0818,11.72775,25.1097,3.309975,12.74796,0.09499,1.811095,0.0001664,0.0045409,0.005863875,0.0251097,0.003309975,0.00637398,9.499e-05,0.001811095,0.04880359,3.84280236220473,7.78440059897546,0.377298956760609,0.382399726485763,0.781719403464737,0.779662060010141,0.185746896887268,37.9374933029525,0.250747111506447
6,"DL1",100,"8/24/2018",1.604675356,1.504,2.97,0.22763695,0.648568608,228,555,225,3,612,5.3,665,34,132,222,67,29,161,18.1,249,34,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,NA,NA,NA,NA,NA,6,0.365283403780004,1.04074206193282,3.02,253.68,42.28,3.02,0.00302,0.25368,0.04228,0.00302,10,0.111111111111111,0.0768,27.6945,18.5175,9.91344,0.95778,13.85195,0.08533,10.03068,7.68e-05,0.01384725,0.00925875,0.00991344,0.00095778,0.006925975,8.533e-05,0.01003068,0.070595965,5.5587374015748,2.06234822820635,0.312723676122539,0.318737682420382,0.745063477131682,0.742258928103025,0.201891490082245,9.42833044888661,0.0727668857152407,0.7424,11.0778,5.5141,5.73936,0.95778,5.18667,0.29141,2.63879,0.0007424,0.0055389,0.00275705,0.00573936,0.00095778,0.002593335,0.00029141,0.00263879,0.02696344,2.12310551181102,1.99264715598409,0.480762225371365,0.484433549439278,0.831479676337743,0.830253279348691,0.235334854095717,7.76814744879617,1.00334644982396
7,"DL2",15,"8/25/2018",1.287251573,1.4,9.39,0.300791851,0.680109739,1943,496,624,11,992,22.9,1945,528,83.5,118.5,52.5,18.5,151.5,15.8,137,26.5,5086,663,97,410,8.2,45,32.4,0,3,78,17,1,NA,NA,NA,NA,NA,7,0.387194783345332,0.87547233134037,9.72,252.72,55.08,3.24,0.00972,0.25272,0.05508,0.00324,10,0.111111111111111,0.2816,24.7504,51.3552,84.48164,14.87376,40.51435,0.36869,16.25888,0.0002816,0.0123752,0.0256776,0.08448164,0.01487376,0.020257175,0.00036869,0.01625888,0.174752235,13.760018503937,13.6952204288333,0.168983504140106,0.17661631651822,0.635623672426847,0.629926071316617,0.147999402355193,91.5922510717637,0.100854971883935,0.4736,5.91315,4.32075,3.63058,0.746505,2.85371,0.25438,2.483085,0.0004736,0.002956575,0.002160375,0.00363058,0.000746505,0.001426855,0.00025438,0.002483085,0.016881685,1.32926653543307,1.60498295392046,0.558031096836176,0.560736524724153,0.863505222610422,0.86270092106747,0.254351307850017,6.02021402933003,0.261530083640338
8,"DL2",50,"8/24/2018",1.412134189,2.69,3.81,0.248522167,0.605556771,635,340,210,13,713,4.5,633,194,190,574,153,4,73,3,717,16,5052,713,204,267,5.3,77.6,32.8,0,2,77,18,3,NA,NA,NA,NA,NA,8,0.350946648745068,0.855127419709544,6.56,252.56,59.04,9.84,0.00656,0.25256,0.05904,0.00984,30,0.428571428571428,0.3328,16.966,17.283,27.6098,5.46498,13.18539,0.07245,11.68607,0.0003328,0.008483,0.0086415,0.0276098,0.00546498,0.006592695,7.245e-05,0.01168607,0.07001744,5.5131842519685,6.67197347075454,0.314145159471327,0.320139395107296,0.745930202199266,0.743144631450982,0.229433892036852,10.2397888967579,0.184449495738324,0.1024,28.6426,12.5919,8.2612,0.45072,14.93511,0.0483,1.19647,0.0001024,0.0143213,0.00629595,0.0082612,0.00045072,0.007467555,4.83e-05,0.00119647,0.061199155,4.81883110236221,1.81939822974344,0.337546773056022,0.343212355695085,0.759784982186449,0.757294189631842,0.349645456482615,2.31710177813168,0.0429405012217499
9,"DL2",100,"8/24/2018",1.604592543,4.32,4.66,0.254616938,0.524383408,817,341,282,12,674,7.3,838,242,651,443,289,7,71,3.6,1080,45,8658,1191,1025,217,8.3,495,58.2,0,1,74,17,8,NA,NA,NA,NA,NA,9,0.408556440036293,0.841421706149727,5.82,430.68,98.94,46.56,0.00582,0.43068,0.09894,0.04656,80,4,0.3072,17.0159,23.2086,35.52316,6.81714,17.45554,0.11753,11.04686,0.0003072,0.00850795,0.0116043,0.03552316,0.00681714,0.00872777,0.00011753,0.01104686,0.084585985,6.66031377952756,7.92102278533191,0.281837507753314,0.288272609882625,0.725441071479076,0.722190008051063,0.194499234806678,4.86792193743118,0.335268342293694,0.1792,22.1057,23.7847,28.30548,1.26765,22.4964,0.05796,1.16369,0.0001792,0.01105285,0.01189235,0.02830548,0.00126765,0.0112482,5.796e-05,0.00116369,0.08387379,6.60423543307087,5.90914436432688,0.283265242842148,0.28968131736449,0.726383516934032,0.723154634698567,0.219006447071148,3.39894748580282,0.171382753611228
10,"DL3",50,"8/24/2018",1.484016224,4.75,5.65,0.267790928,0.600108666,987,583,319,11,857,0.8,1211,157,618,422,197,7,109,5.5,895,88,5121,968,508,297,4.6,188,36.6,0,2,70,22,6,NA,NA,NA,NA,NA,10,0.397406081792016,0.890570996506997,7.32,256.2,80.52,21.96,0.00732,0.2562,0.08052,0.02196,60,1.5,0.2816,29.0917,26.2537,42.91476,4.42269,25.22513,0.01288,14.04623,0.0002816,0.01454585,0.01312685,0.04291476,0.00442269,0.012612565,1.288e-05,0.01404623,0.11140961,8.77241023622047,8.15794777254771,0.236494847020088,0.24350001719463,0.693411619185107,0.68936301954578,0.326043296090112,5.91921614447845,0.115842596572371,0.1792,21.0578,16.2131,26.87064,2.47896,18.64285,0.08855,1.78651,0.0001792,0.0105289,0.00810655,0.02687064,0.00247896,0.009321425,8.855e-05,0.00178651,0.07161568,5.63902992125984,6.22455155472706,0.31024915200015,0.31629750906784,0.743547457997408,0.740709561554998,0.354736211954192,4.07837063681783,0.0812843989061869
